top - 11:49:58 up 92 days, 23:56, 44 users,  load average: 1.68, 1.78, 1.84
Tasks: 491 total,   1 running, 488 sleeping,   0 stopped,   2 zombie
Cpu(s):  0.1%us,  0.0%sy,  0.0%ni, 99.7%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  20590672k total, 20013856k used,   576816k free,   638924k buffers
Swap:        0k total,        0k used,        0k free, 17334004k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                        
 4998 root      20   0 21540  376  208 S  0.0  0.0   0:00.03 atd                                                                                                            
 5067 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.70 libvirtd                                                                                                       
 5068 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.04 libvirtd                                                                                                       
 5069 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.05 libvirtd                                                                                                       
 5070 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.05 libvirtd                                                                                                       
 5071 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.06 libvirtd                                                                                                       
 5072 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.05 libvirtd                                                                                                       
 5073 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.01 libvirtd                                                                                                       
 5074 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.04 libvirtd                                                                                                       
 5075 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.01 libvirtd                                                                                                       
 5076 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.04 libvirtd                                                                                                       
 5077 root      20   0  972m  13m 2640 S  0.0  0.1   0:00.01 libvirtd                                                                                                       
 5080 root      20   0 55244  580    0 S  0.0  0.0   0:15.97 ssh-agent                                                                                                      
 5101 root      20   0  130m 5632 2264 S  0.0  0.0   2:59.30 gconfd-2                                                                                                       
 5125 root      20   0  4160  444  360 S  0.0  0.0   0:00.03 rhsmcertd                                                                                                      
 5126 root      20   0  4160  440  356 S  0.0  0.0   0:00.20 rhsmcertd                                                                                                      
 5147 root      20   0  597m  43m 9584 S  0.0  0.2   3:41.08 gnome-settings-                                                                                                
 5178 root      20   0  597m  43m 9584 S  0.0  0.2   0:00.00 gnome-settings-                                                                                                
 5152 root      20   0  891m  11m 1656 S  0.0  0.1   0:06.41 gnome-keyring-d                                                                                                
 5153 root      20   0  891m  11m 1656 S  0.0  0.1   0:00.00 gnome-keyring-d                                                                                                
 5157 root      20   0  891m  11m 1656 S  0.0  0.1   0:00.00 gnome-keyring-d                                                                                                
 5160 root      20   0  285m 8096 5728 S  0.0  0.0   0:00.45 seahorse-daemon                                                                                                
 5161 root      20   0  118m 2124 1820 S  0.0  0.0   0:00.02 gdm-binary                                                                                                     
 5166 root      20   0  4164  576  492 S  0.0  0.0   0:00.00 mingetty                                                                                                       
 5168 root      20   0  4164  572  492 S  0.0  0.0   0:00.00 mingetty                                                                                                       
 5171 root      20   0  4164  572  492 S  0.0  0.0   0:00.00 mingetty                                                                                                       
 5173 root      20   0  4164  576  492 S  0.0  0.0   0:00.00 mingetty                                                                                                       
 5175 root      20   0  4164  572  492 S  0.0  0.0   0:00.00 mingetty                                                                                                       
 5193 root      20   0  148m 3040 2476 S  0.0  0.0   0:00.00 gdm-simple-slav                                                                                                
 5195 root      20   0  108m 8908 2652 S  0.0  0.0   1031:30 Xorg                                                                                                           
 5197 root      20   0  131m 2248 1880 S  0.0  0.0   0:00.03 gvfsd                                                                                                          
 5211 root      20   0  331m 2136 1536 S  0.0  0.0   0:00.00 gvfs-fuse-daemo                                                                                                
 5212 root      20   0  331m 2136 1536 S  0.0  0.0   0:00.05 gvfs-fuse-daemo                                                                                                
 5213 root      20   0  331m 2136 1536 S  0.0  0.0   0:00.04 gvfs-fuse-daemo                                                                                                
 5214 root      20   0  331m 2136 1536 S  0.0  0.0   0:00.00 gvfs-fuse-daemo                                                                                                
28023 root      20   0  331m 2136 1536 S  0.0  0.0   0:00.04 gvfs-fuse-daemo                                                                                                
 5217 root      20   0  501m  13m 9684 S  0.0  0.1   1:59.37 metacity                                                                                                       
 5218 root      20   0  330m  15m  10m S  0.0  0.1   2:28.90 gnome-panel                                                                                                    
 5223 root      20   0  924m  22m  12m S  0.0  0.1 126:46.22 nautilus                                                                                                       
 5225 root      20   0  681m 5360 2260 S  0.0  0.0   0:00.01 bonobo-activati                                                                                                
 5226 root      20   0  681m 5360 2260 S  0.0  0.0   0:00.00 bonobo-activati                                                                                                
 5228 root      20   0  265m  10m 7776 S  0.0  0.1   0:00.27 abrt-applet                                                                                                    
 5229 root      20   0  250m 8216 5988 S  0.0  0.0   0:00.05 bluetooth-apple                                                                                                
 5236 root      20   0  269m 9020 6940 S  0.0  0.0   0:01.83 gpk-update-icon                                                                                                
 5250 root      20   0  111m 4272 3508 S  0.0  0.0   0:00.02 im-settings-dae                                                                                                
 5258 root      20   0  324m  18m 8148 S  0.0  0.1   0:01.10 python                                                                                                         
 5259 root      20   0  321m  14m 9496 S  0.0  0.1   6:07.01 wnck-applet                                                                                                    
 5261 root      20   0  304m  11m 8588 S  0.0  0.1   0:00.36 trashapplet                                                                                                    
 5262 root      20   0  306m  11m 7572 S  0.0  0.1   0:01.62 nm-applet                                                                                                      
 5268 root      20   0  397m  10m 6876 S  0.0  0.1   0:00.02 gnome-volume-co                                                                                                
 5326 root      20   0  138m 2900 2340 S  0.0  0.0   0:02.40 gvfsd-trash                                                                                                    
 5388 root      20   0  256m  10m 5480 S  0.0  0.1   9:41.14 gnome-screensav                                                                                                
 5476 root      20   0 38352 2440 2056 S  0.0  0.0   0:00.02 gconf-im-settin                                                                                                
 5488 root      20   0  144m 2328 1840 S  0.0  0.0   0:00.02 gvfs-gphoto2-vo                                                                                                
 5490 root      20   0  224m 2268 1836 S  0.0  0.0   0:00.02 gvfs-afc-volume                                                                                                
 5491 root      20   0  224m 2268 1836 S  0.0  0.0   2:11.63 gvfs-afc-volume                                                                                                
 5498 root      20   0  389m  14m  10m S  0.0  0.1   0:00.29 gnote                                                                                                          
 5502 root      20   0  562m  23m  12m S  0.0  0.1   1:52.78 clock-applet                                                                                                   
 5503 root      20   0  377m  11m 8472 S  0.0  0.1   0:00.39 gdm-user-switch                                                                                                
 5504 root      20   0  278m 8940 6896 S  0.0  0.0   0:00.24 notification-ar                                                                                                
 5532 gdm       20   0 20128  572  344 S  0.0  0.0   0:00.00 dbus-launch                                                                                                    
 5533 gdm       20   0 21484  904  672 S  0.0  0.0   0:00.00 dbus-daemon                                                                                                    
 5534 gdm       20   0  255m 9920 7508 S  0.0  0.0   0:00.02 gnome-session                                                                                                  
 5535 gdm       20   0     0    0    0 Z  0.0  0.0   0:00.00 gconf-sanity-ch <defunct>                                                                                      
 5543 root      20   0  129m 1896 1576 S  0.0  0.0   0:00.00 gvfsd-metadata                                                                                                 
 5546 root      20   0  131m 2264 1932 S  0.0  0.0   0:00.00 gvfsd-burn                                                                                                     
 5920 gdm       20   0  129m 1932 1652 S  0.0  0.0   0:00.00 gvfsd                                                                                                          
 6519 root      20   0  105m 2004 1544 S  0.0  0.0   0:00.00 bash                                                                                                           
 6875 root      20   0 8592m 664m  11m S  0.0  3.3   0:00.00 java                                                                                                           
 6877 root      20   0 8592m 664m  11m S  0.0  3.3   0:00.65 java                                                                                                           
